Ad_Viewed,Banner_Ad_Viewed,Interstitial_Ad_Viewed,Complete_Level,Soft_Currency_Purchase,Hard_Currency_Purchase,No_More_Puzzles,App_Launch,Use_Boost,Rate_Me
221,317,335,379,335,30,26,739,316,116
222,370,367,404,329,46,26,998,312,102
193,284,336,355,300,43,23,691,286,99
200,287,328,368,306,39,25,691,280,110
223,301,343,359,327,41,23,729,301,109
209,278,323,341,293,32,30,657,283,98
230,292,360,369,325,38,16,740,318,94
213,295,333,352,295,43,26,740,288,98
209,352,331,369,306,35,22,959,304,99
222,278,326,365,316,31,15,686,299,90
216,259,326,323,296,28,20,677,276,79
227,253,334,364,307,34,23,702,316,85
208,265,335,353,306,54,22,664,302,93
241,286,341,380,326,36,24,752,327,95
215,277,330,348,326,32,20,759,304,85
237,367,363,411,340,37,30,1003,329,104
216,302,338,357,317,38,28,668,300,93
202,278,321,328,284,34,20,673,266,86
205,255,312,330,287,34,26,676,273,80
203,261,313,312,268,26,18,652,261,81
205,274,312,334,291,22,17,689,291,70
202,273,322,336,278,35,13,708,281,72
220,341,332,366,312,45,27,936,300,83
232,272,329,353,326,35,23,692,295,98
184,237,301,304,269,36,24,682,255,79
215,257,321,325,280,20,20,694,268,81
177,239,269,295,248,29,18,611,242,74
184,258,315,342,281,41,25,710,271,88
204,240,300,323,288,22,12,681,279,84
212,309,342,355,299,38,20,908,291,78
220,263,292,333,296,34,18,676,287,81
180,240,294,301,251,22,16,620,252,73
190,225,292,312,272,34,14,681,264,79
182,223,276,308,264,24,18,618,255,69
180,228,278,293,263,23,19,658,261,65
181,245,306,333,276,32,16,708,265,81
218,334,344,367,300,30,30,885,281,98
184,273,309,314,270,37,13,648,254,81
179,253,288,320,272,34,14,657,259,92
184,278,306,339,298,40,15,694,288,87
184,242,298,323,269,30,19,665,251,73
188,275,300,320,275,40,13,670,271,87
188,265,309,327,249,34,14,721,243,82
178,343,326,347,278,36,19,886,254,95
184,271,316,336,277,35,14,668,260,81
191,240,296,325,284,31,16,673,266,99
204,273,312,365,309,42,17,710,292,98
203,262,309,338,302,44,17,678,279,86
191,262,323,359,309,36,15,721,286,81
201,274,313,349,299,38,17,718,273,85
209,360,368,384,327,28,17,931,303,113
177,287,325,327,254,27,14,625,231,98
207,271,298,310,274,40,18,639,271,83
188,247,281,299,264,33,17,632,253,77
172,264,279,296,244,30,13,596,227,81
181,253,268,285,254,39,14,604,241,71
189,278,303,300,277,31,17,646,269,66
192,339,315,331,285,34,13,805,283,81
196,273,313,320,279,34,17,587,270,69
188,258,292,298,253,32,13,608,254,63
192,260,313,319,263,30,15,600,258,67
159,228,271,255,218,24,10,553,209,60
158,215,273,280,240,32,8,568,228,69
168,224,270,279,231,33,14,581,229,49
165,280,280,295,241,26,17,714,240,61
172,242,272,274,231,35,14,541,218,86
151,215,266,269,232,26,13,529,221,52
175,240,298,293,248,26,10,606,249,59
180,239,273,277,239,30,20,586,229,43
169,232,274,295,262,25,17,588,246,60
163,242,274,279,242,32,9,592,227,51
175,320,286,298,259,25,11,713,262,68
163,227,261,275,239,20,15,539,226,49
170,221,264,268,247,29,11,556,247,58
185,240,292,290,240,25,15,579,246,61
161,238,274,265,229,24,17,557,230,57
173,253,291,288,242,22,14,586,232,76
177,252,302,318,259,33,17,639,241,83
205,308,321,345,285,26,23,864,286,68
159,246,266,293,239,32,12,596,227,59
186,249,296,310,269,26,17,656,265,63
173,258,298,310,273,25,17,679,266,83
170,230,312,283,252,26,21,589,252,80
177,243,290,329,272,26,15,648,253,82
199,281,306,326,294,26,16,682,278,81
193,313,316,331,292,40,21,817,279,76
199,252,293,307,279,31,19,651,271,78
174,255,291,294,252,47,25,616,248,70
193,276,319,344,296,26,15,686,287,81
162,260,261,289,255,31,12,627,237,71
